time_s,activity
0.000000000000000000e+00,0.000000000000000000e+00
8.191999979317188263e-03,0.000000000000000000e+00
1.638399995863437653e-02,1.464843750000000000e-03
2.457600086927413940e-02,4.882812500000000000e-04
3.276799991726875305e-02,9.765625000000000000e-04
4.095999896526336670e-02,0.000000000000000000e+00
4.915200173854827881e-02,4.882812500000000000e-04
5.734400078654289246e-02,0.000000000000000000e+00
6.553599983453750610e-02,4.882812500000000000e-04
7.372800260782241821e-02,7.324218750000000000e-04
8.191999793052673340e-02,9.765625000000000000e-04
9.011200070381164551e-02,4.882812500000000000e-04
9.830400347709655762e-02,2.441406250000000000e-04
1.064959987998008728e-01,7.324218750000000000e-04
1.146880015730857849e-01,7.324218750000000000e-04
1.228799968957901001e-01,2.441406250000000000e-04
1.310719996690750122e-01,4.882812500000000000e-04
1.392640024423599243e-01,7.324218750000000000e-04
1.474560052156448364e-01,0.000000000000000000e+00
1.556479930877685547e-01,4.882812500000000000e-04
1.638399958610534668e-01,4.882812500000000000e-04
1.720319986343383789e-01,2.441406250000000000e-04
1.802240014076232910e-01,4.882812500000000000e-04
1.884160041809082031e-01,2.441406250000000000e-04
1.966080069541931152e-01,7.324218750000000000e-04
2.047999948263168335e-01,0.000000000000000000e+00
2.129919975996017456e-01,2.441406250000000000e-04
2.211840003728866577e-01,2.441406250000000000e-04
2.293760031461715698e-01,9.765625000000000000e-04
2.375680059194564819e-01,7.324218750000000000e-04
2.457599937915802002e-01,2.441406250000000000e-04
2.539519965648651123e-01,2.441406250000000000e-04
2.621439993381500244e-01,0.000000000000000000e+00
2.703360021114349365e-01,4.882812500000000000e-04
2.785280048847198486e-01,7.324218750000000000e-04
2.867200076580047607e-01,4.882812500000000000e-04
2.949120104312896729e-01,9.765625000000000000e-04
3.031040132045745850e-01,0.000000000000000000e+00
3.112959861755371094e-01,4.882812500000000000e-04
3.194879889488220215e-01,0.000000000000000000e+00
3.276799917221069336e-01,7.324218750000000000e-04
3.358719944953918457e-01,2.441406250000000000e-04
3.440639972686767578e-01,2.441406250000000000e-04
3.522560000419616699e-01,4.882812500000000000e-04
