time_s,activity
0.000000000000000000e+00,0.000000000000000000e+00
4.352000076323747635e-03,0.000000000000000000e+00
8.704000152647495270e-03,1.953125000000000000e-03
1.305599976330995560e-02,1.953125000000000000e-03
1.740800030529499054e-02,1.708984375000000000e-03
2.175999991595745087e-02,1.220703125000000000e-03
2.611199952661991119e-02,9.765625000000000000e-04
3.046399913728237152e-02,1.220703125000000000e-03
3.481600061058998108e-02,9.765625000000000000e-04
3.916800022125244141e-02,9.765625000000000000e-04
4.351999983191490173e-02,2.197265625000000000e-03
4.787199944257736206e-02,7.324218750000000000e-04
5.222399905323982239e-02,7.324218750000000000e-04
5.657599866390228271e-02,1.220703125000000000e-03
6.092799827456474304e-02,4.882812500000000000e-04
6.527999788522720337e-02,9.765625000000000000e-04
6.963200122117996216e-02,9.765625000000000000e-04
7.398399710655212402e-02,4.882812500000000000e-04
7.833600044250488281e-02,2.441406250000000000e-04
8.268799632787704468e-02,4.882812500000000000e-04
8.703999966382980347e-02,7.324218750000000000e-04
9.139200299978256226e-02,4.882812500000000000e-04
9.574399888515472412e-02,7.324218750000000000e-04
1.000960022211074829e-01,3.173828125000000000e-03
1.044479981064796448e-01,1.220703125000000000e-03
1.088000014424324036e-01,1.464843750000000000e-03
1.131519973278045654e-01,9.765625000000000000e-04
1.175040006637573242e-01,7.324218750000000000e-04
1.218559965491294861e-01,1.953125000000000000e-03
1.262080073356628418e-01,9.765625000000000000e-04
1.305599957704544067e-01,1.708984375000000000e-03
1.349119991064071655e-01,2.441406250000000000e-04
1.392640024423599243e-01,7.324218750000000000e-04
1.436160057783126831e-01,4.882812500000000000e-04
1.479679942131042480e-01,9.765625000000000000e-04
1.523199975490570068e-01,1.220703125000000000e-03
1.566720008850097656e-01,1.708984375000000000e-03
1.610240042209625244e-01,9.765625000000000000e-04
1.653759926557540894e-01,1.708984375000000000e-03
1.697279959917068481e-01,1.220703125000000000e-03
1.740799993276596069e-01,2.441406250000000000e-04
1.784320026636123657e-01,4.150390625000000000e-03
1.827840059995651245e-01,0.000000000000000000e+00
1.871359944343566895e-01,4.882812500000000000e-04
1.914879977703094482e-01,0.000000000000000000e+00
1.958400011062622070e-01,7.324218750000000000e-04
2.001920044422149658e-01,1.220703125000000000e-03
2.045439928770065308e-01,9.765625000000000000e-04
2.088959962129592896e-01,1.708984375000000000e-03
2.132479995489120483e-01,9.765625000000000000e-04
2.176000028848648071e-01,7.324218750000000000e-04
2.219520062208175659e-01,2.197265625000000000e-03
2.263039946556091309e-01,9.765625000000000000e-04
2.306559979915618896e-01,4.882812500000000000e-04
2.350080013275146484e-01,3.906250000000000000e-03
2.393600046634674072e-01,1.220703125000000000e-03
2.437119930982589722e-01,1.220703125000000000e-03
2.480639964342117310e-01,1.220703125000000000e-03
2.524160146713256836e-01,4.882812500000000000e-04
2.567679882049560547e-01,0.000000000000000000e+00
2.611199915409088135e-01,1.953125000000000000e-03
2.654719948768615723e-01,9.765625000000000000e-04
2.698239982128143311e-01,0.000000000000000000e+00
2.741760015487670898e-01,4.882812500000000000e-04
2.785280048847198486e-01,1.708984375000000000e-03
2.828800082206726074e-01,1.708984375000000000e-03
2.872320115566253662e-01,2.441406250000000000e-04
2.915840148925781250e-01,3.417968750000000000e-03
2.959359884262084961e-01,7.324218750000000000e-04
3.002879917621612549e-01,2.441406250000000000e-04
3.046399950981140137e-01,0.000000000000000000e+00
3.089919984340667725e-01,9.765625000000000000e-04
3.133440017700195312e-01,2.441406250000000000e-04
3.176960051059722900e-01,2.929687500000000000e-03
3.220480084419250488e-01,4.882812500000000000e-04
3.264000117778778076e-01,2.441406250000000000e-04
3.307519853115081787e-01,2.441406250000000000e-04
3.351039886474609375e-01,7.324218750000000000e-04
3.394559919834136963e-01,9.765625000000000000e-04
3.438079953193664551e-01,4.882812500000000000e-04
