f_center_hz,p_db,bw_hz_est,snr_db_est
-1878906.25,-87.57856750488281,14648.4375,24.495750427246094
-1804687.5,-98.23704528808594,15625.0,13.837272644042969
-1604492.1875,-86.02173614501953,33203.125,26.052581787109375
-1555664.0625,-85.51654052734375,17578.125,26.557777404785156
-1329101.5625,-96.46231079101562,17578.125,15.612007141113281
-1154296.875,-102.21601867675781,37109.375,9.858299255371094
-1053710.9375,-98.37105560302734,7812.5,13.703262329101562
-805664.0625,-89.59423065185547,19531.25,22.480087280273438
-654296.875,-102.96006774902344,38085.9375,9.114250183105469
-553710.9375,-98.13567352294922,20507.8125,13.938644409179688
-354492.1875,-102.05598449707031,28320.3125,10.018333435058594
-304687.5,-101.76739501953125,35156.25,10.306922912597656
-229492.1875,-92.06558227539062,13671.875,20.00873565673828
-104492.1875,-78.16764068603516,4882.8125,33.90667724609375
-54687.5,-93.5763931274414,17578.125,18.4979248046875
145507.8125,-101.13682556152344,32226.5625,10.937492370605469
195312.5,-94.512451171875,36132.8125,17.561866760253906
270507.8125,-93.28005981445312,8789.0625,18.79425811767578
320312.5,-96.04027557373047,16601.5625,16.034042358398438
395507.8125,-79.5533447265625,15625.0,32.520973205566406
464843.75,-99.28816223144531,19531.25,12.786155700683594
496093.75,-99.0071792602539,19531.25,13.067138671875
645507.8125,-93.48861694335938,9765.625,18.58570098876953
820312.5,-97.2967529296875,39062.5,14.777565002441406
945312.5,-91.06201934814453,16601.5625,21.012298583984375
996093.75,-102.44170379638672,35156.25,9.632614135742188
1145507.8125,-92.66244506835938,16601.5625,19.41187286376953
1295898.4375,-101.90699768066406,38085.9375,10.167320251464844
1445312.5,-87.5746841430664,17578.125,24.4996337890625
1496093.75,-88.06365203857422,38085.9375,24.010665893554688
1695312.5,-86.22749328613281,13671.875,25.846824645996094
1845703.125,-102.13280487060547,39062.5,9.941513061523438
1920898.4375,-97.69490051269531,35156.25,14.379417419433594
1970703.125,-96.37963104248047,36132.8125,15.694686889648438
