f_center_hz,p_db,bw_hz_est,snr_db_est
-4194335.9375,-97.52197265625,43945.3125,23.343002319335938
-3818359.375,-94.61766052246094,53710.9375,26.247314453125
-3569335.9375,-95.93574523925781,53710.9375,24.929229736328125
-3378906.25,-105.85342407226562,53710.9375,15.011550903320312
-3193359.375,-90.85601043701172,48828.125,30.00896453857422
-3129882.8125,-91.13414001464844,48828.125,29.7308349609375
-2880859.375,-89.89691162109375,48828.125,30.968063354492188
-2690429.6875,-106.30684661865234,53710.9375,14.558128356933594
-2255859.375,-102.24984741210938,48828.125,18.615127563476562
-2006835.9375,-89.72008514404297,53710.9375,31.14488983154297
-1943359.375,-88.9718017578125,48828.125,31.893173217773438
-1694335.9375,-106.09324645996094,53710.9375,14.771728515625
-1630859.375,-110.28801727294922,58593.75,10.576957702636719
-1440429.6875,-106.37760925292969,53710.9375,14.48736572265625
-1318359.375,-102.27290344238281,53710.9375,18.592071533203125
-1069335.9375,-107.59880828857422,58593.75,13.266166687011719
-1005859.375,-93.41925811767578,53710.9375,27.445716857910156
-815429.6875,-106.98967742919922,53710.9375,13.875297546386719
-693359.375,-101.59501647949219,53710.9375,19.26995849609375
-444335.9375,-106.56700134277344,53710.9375,14.2979736328125
-380859.375,-105.39590454101562,48828.125,15.469070434570312
-131835.9375,-82.17117309570312,53710.9375,38.69380187988281
-68359.375,-97.05536651611328,48828.125,23.809608459472656
180664.0625,-105.05298614501953,53710.9375,15.811988830566406
244140.625,-97.80670166015625,53710.9375,23.058273315429688
493164.0625,-83.20128631591797,53710.9375,37.66368865966797
581054.6875,-101.10429382324219,48828.125,19.76068115234375
620117.1875,-102.48394775390625,48828.125,18.381027221679688
996093.75,-105.44585418701172,53710.9375,15.419120788574219
1245117.1875,-106.16415405273438,48828.125,14.700820922851562
1899414.0625,-100.65059661865234,53710.9375,20.214378356933594
2651367.1875,-91.22730255126953,48828.125,29.637672424316406
3276367.1875,-106.14167022705078,48828.125,14.723304748535156
3339843.75,-100.89252471923828,48828.125,19.972450256347656
3964843.75,-101.17974853515625,48828.125,19.685226440429688
4711914.0625,-96.07562255859375,48828.125,24.789352416992188
5336914.0625,-97.36408233642578,53710.9375,23.500892639160156
5400390.625,-99.84072875976562,48828.125,21.024246215820312
6025390.625,-100.2830581665039,53710.9375,20.58191680908203
6777343.75,-100.08720397949219,53710.9375,20.77777099609375
7402343.75,-101.00813293457031,53710.9375,19.856842041015625
7485351.5625,-100.06104278564453,53710.9375,20.803932189941406
